"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88"
"hsa-miR-335-5p",0,0.432137982398091,0.21155708862881,0.0637989882963297,0.247812909965869,0.50733809803682,0.764897838530585,0.187162295961355,0.15683165693168,1,0.604552168314548,0.156977920509518,0,0.863937820597686,0.715876945270188,0.581885000328575,0.843494174546091,0.102190801528575,0.426725164408771,0.21400505296538,0.785919535367614,0.0865432619589032,0.123510316578641,0,0.738030175531361,0.00685242615094971,0.644848851890367,0.539368786088105,0.577480443761153,0.059772633777895,0.844163127144444,0.126035049472321,0.0675758824113459,0.411642281878457,0.252138491776666,0.258949888742675,0.393325249656335,0.188104950630412,0.422190965251681,0.149896088113615,0.259437503123365,0.504963166025704,0.160140751026508,0.397660900865719,0.50733809803682,0.50282405164594,0.487089639700773,0.202418070965218,0.171094542871024,0.328378139521108,0.169487069412154,0.175356944802918,0.430723940068731,0.21155708862881,0.153651979883877,0.497047617238738,0.376033763335281,0.508232719362745,0.151116431378184,0.240006413857909,0.340155730337326,0.256095384219975,0.156977920509518,0.295850931027924,0.306987627864925,0.264691018228747,0.18039898084053,0.32906704216311,0.38506780941481,0.308356419376496,0.494557729064977,0.214604300537698,0.167694033238139,0.306464711948191,0.296304192796307,0.307486876870738,0.135216934253697,0.382840943608605,0.374031765927941,0.168620919989373,0.298671369004955,0.224938633299353,0.271832132856343,0.269271104767194,0.281419092971154,0.236918115402885,0.285451265656208,0.259163108961461
"hsa-miR-26b-5p",0,0.363230860058687,0.149012047855359,0.012809610972592,0.181399849046653,0.62963523786869,0.49591396032937,0.145028020933117,0.131889680488923,1,0.752610418170019,0.0947192541908482,0,0.490657225719802,0.447974083098248,0.421977731996908,0.501960231202887,0.060494767909384,0.349482100428385,0.153546297522157,0.440499879204913,0.0864926526893205,0.132217119358551,0,0.410326979421181,0,0.76132936129558,0.626291053737987,0.702865381277924,0.0418936974301605,0.503962379753971,0.101676243094864,0,0.429049733494557,0.223063951045349,0.211566136741395,0.376072082644543,0.132966055039309,0.349482100428385,0.048645978739143,0.208031909360185,0.478552879667341,0.0992007814034591,0.347459749040419,0.559670798550113,0.559670798550113,0.559670798550113,0.143141391706257,0.0952745944714246,0.276809929267125,0.0766148221409136,0.129855844393837,0.390446150038415,0.152153466912814,0.072462847306645,0.559670798550113,0.340179110809908,0.505938227848484,0.0623771433926234,0.174366725629509,0.289563375579495,0.196780641044739,0.0792507105786889,0.245334632787299,0.248520311062455,0.206851964015708,0.119750271059782,0.283591904197399,0.331278891060696,0.261758991418673,0.473436339092944,0.148177622756441,0.0834189816282433,0.25564571192936,0.240187377250426,0.242980642623208,0.072462847306645,0.345289426886716,0.328235299442559,0.0929161030207354,0.243648453913618,0.156652099958792,0.211627416428346,0.209393182611215,0.229326931021454,0.170738656651674,0.234481052905004,0.193805288392194
"hsa-miR-16-5p",0,0.490453588339162,0.254948070593713,0.107862787257168,0.266787894960826,0.589414953133066,0.780848894766183,0.26430051669285,0.193555192574067,1,0.625797360244517,0.161202506412486,0,0.847681590075248,0.402881783194172,0.519268581554941,0.833875140504717,0.1248364839359,0.47293212595989,0.263789867902455,0.802152915564992,0.120683951483885,0.206817402928327,0,0.383722231763472,0.0281284482118732,0.645389655180999,0.552730981608111,0.605576975557722,0.109452273837004,0.851690728986084,0.203977037756028,0.114182592524129,0.686372718133201,0.27942050465248,0.213000230577775,0.426388915180209,0.2363008440047,0.502687205637901,0.108158396338084,0.272041032981312,0.432286867791984,0.194562141245198,0.449243170849437,0.536782115754617,0.536782115754617,0.538423306007983,0.247734211335016,0.163193035706026,0.354540453354038,0.137748161849716,0.248545846871681,0.483761112212591,0.246489453985236,0.129464277353948,0.541059819225994,0.4651594799774,0.440104616679349,0.145569939266903,0.270971852619493,0.379788153266701,0.259462198638717,0.148784847239231,0.308754000979359,0.334124360628872,0.275878284273877,0.202021201461722,0.359371717307104,0.425921206893108,0.321327027424431,0.477393020889341,0.233495572133688,0.161339895447577,0.336388277915221,0.316839608310556,0.343166150713196,0.132466659147943,0.39144113768961,0.397859804746295,0.172044104387218,0.323287539677076,0.242210617680681,0.284099615619378,0.295483253640999,0.311594462094579,0.2589586455077,0.307086548580469,0.274869114654199
"hsa-miR-124-3p",0,0.400132060715738,0.170651012737823,0,0.198638065838126,0.468799073543996,0.710307286485746,0.158804388208807,0.112275234749453,1,0.580317619280054,0.10762039898359,0,0.774051719562869,0.652278944711537,0.38924223255499,0.772328802391779,0.0243975946547259,0.393600211612927,0.167295081524214,0.695784293931347,0.00933985223799369,0.100920291531864,0,0.667942072399639,0,0.608395225835946,0.51135067650983,0.545170691408116,0,0.785009472770996,0.0772006353116911,0,0.545752148167467,0.22204244647764,0.166065442706232,0.382473999986285,0.155072888869668,0.393600211612927,0.0824904900401088,0.205718638746232,0.477277762400726,0.101761349304276,0.353255439537266,0.477277762400726,0.476118242592513,0.457215009680359,0.145220315621427,0.101488011329651,0.282809043106489,0.100063302830158,0.12778178354738,0.403262321250139,0.157560012800749,0.090711287306675,0.473986250339824,0.349490644145532,0.477277762400726,0.0824904900401088,0.178191276922257,0.290711387456423,0.189819075598143,0.0896259852373042,0.238434628649103,0.251651389285046,0.201618402024553,0.115317901957172,0.277754272180196,0.340365621473151,0.25210113811962,0.478887719945426,0.152773322212083,0.0956345927277706,0.256289914439769,0.238114576409037,0.250547630741583,0.0772871025297712,0.335841514938855,0.32338135538873,0.0993490349433438,0.242820039044648,0.157376032441889,0.210948149777302,0.209109133173219,0.226417055789143,0.173613432455376,0.2282848796723,0.195616577400938
"hsa-miR-92a-3p",0.0249612144408906,0.530497296420449,0.203028572971929,0.0634744418412821,0.241261431188798,0.599477674933566,0.837128465691024,0.166834458794051,0.0954453967741197,1,0.641501874259132,0.135064493097749,0,0.848790294281167,0.353570765942765,0.61860925964043,0.861401565677592,0.0209767227388773,0.534729096352598,0.205092668432974,0.358953115007343,0,0.0782693388681194,0,0.34825436388862,0,0.668807252634322,0.597807375265768,0.641501874259132,0,0.868022730958817,0.202939808564196,0.0547224576551129,0.756303036283502,0.268782614870902,0.223128156041648,0.391787507247679,0.182612592730846,0.530497296420449,0.109460982509644,0.304597959185503,0.404179202427446,0.132521953224566,0.456673611707971,0.489738131401066,0.495523935245538,0.513546891845009,0.196613535892596,0.122171292896876,0.323882177293926,0.115673785333105,0.142423777050671,0.45420714447827,0.228483288709301,0.121334679277062,0.504303725890646,0.490762662147885,0.414606777822484,0.125699772726978,0.227128436208668,0.332320694312028,0.243483248430029,0.119616353285955,0.289930439464074,0.301804868424548,0.247135181213172,0.16037856884396,0.315970327129402,0.3850599404133,0.299795004726457,0.440839544976516,0.189605476616217,0.138907036173612,0.297829994125543,0.288131311795455,0.296833872426933,0.0902941398985193,0.367271809205665,0.369591332226957,0.14294619409867,0.288109408428188,0.199692598863999,0.261162725473621,0.251311971808841,0.268157577534354,0.221602798765558,0.271626316319967,0.242519089519338
"hsa-miR-93-5p",0,0.526765360657094,0.234201629467092,0.0869268377544727,0.270345323188012,0.627037392838098,0.817838801192968,0.219036251745728,0.186917053424889,1,0.673473225877427,0.17798894874518,0,0.840761720225082,0.447681434526439,0.549593164088598,0.823324019335849,0.121255192947174,0.491144863971032,0.237286081492918,0.440202127830179,0.139727210596955,0.194223827666446,0,0.419569750481345,0.0117677261714623,0.687763504952741,0.601936617081045,0.658065732529483,0.0993275802202682,0.823324019335849,0.187128566372748,0.078640497137887,0.450615627693671,0.30734272673945,0.298521368802433,0.422718074676939,0.221455216697203,0.509652653033309,0.129685259055225,0.312411852053911,0.584992068902982,0.187194069836958,0.429032973601131,0.597391647948736,0.584393855666761,0.520934238566553,0.234201629467092,0.170430238718622,0.341189696947646,0.154616379624921,0.208153822686397,0.446470124997918,0.247896877109423,0.154616379624921,0.554867124853804,0.366292667430635,0.599780529774679,0.148985490447407,0.251673114479854,0.35546194683753,0.278496605072517,0.15975505300622,0.330114568899089,0.330264572551142,0.285525884614173,0.201268480145096,0.347902157325078,0.412353507648385,0.346108984863171,0.519187139909997,0.227586062642658,0.166361101149484,0.32885916262906,0.31983091291932,0.315477960592449,0.140477191435012,0.423770891006837,0.402243619749583,0.176289509517297,0.320350988931484,0.235792746041011,0.29202301812052,0.284662779537048,0.30573834081518,0.248053365113393,0.312483764933661,0.270356292041487
"hsa-let-7b-5p",0.252192226154587,0.518214639193605,0.34232238918754,0.310819585133515,0.404512114257953,0.591847760141918,0.819554849545401,0.34697386615226,0.291956278362011,1,0.674685135005388,0.276486348535306,0,0.861274261482582,0.761154043947106,0.538961528698563,0.843660659660081,0.313209160119787,0.524772871258479,0.359774659811956,0.802333788912998,0.362497205466942,0.356978315792501,0.211271758230763,0.779503908505313,0.232423510129906,0.701963616710526,0.624872438479861,0.661777380321845,0.329769349354095,0.85363025627826,0.364025301572162,0.313209160119787,0.71950088920873,0.413928248301879,0.373271258365746,0.541755973207119,0.341341207722808,0.521119679567807,0.224978741567463,0.409877342390926,0.570343811632049,0.306568836959168,0.547985724756035,0.616487618990406,0.620958622760041,0.61853308121226,0.363539466355474,0.273375418034225,0.48546046029091,0.227267594654468,0.348678659027241,0.577712180042304,0.372121653475703,0.25291462459984,0.620958622760041,0.591817345209451,0.593230746083086,0.274318015998573,0.392815379971689,0.485631179018422,0.406817907101526,0.272168033536216,0.440995128543735,0.449494488418967,0.413186615040053,0.340483405374987,0.479942577248522,0.514498541468452,0.450634871336326,0.61555475313563,0.359018417625369,0.299081023541707,0.456148481666305,0.442205836974615,0.451534805919924,0.263446541656318,0.511998859582416,0.512446712984218,0.311533308678137,0.445472699167941,0.369924504434794,0.42097381446102,0.417734432343058,0.431733250389456,0.390453687987714,0.432317982907767,0.407690085152761
"hsa-miR-17-5p",0,0.521415203325061,0.246631184159211,0.100661202455779,0.267208943666698,0.621778271412635,0.803732250874243,0.233028284526314,0.1942648758557,1,0.698248459730651,0.176519571404717,0,0.803732250874243,0.441502117358524,0.60543543023569,0.810621879334558,0.129015151154193,0.48049773429059,0.248829112736072,0.440171040820614,0.160365369746345,0.197185732766661,0,0.417179827764935,0.0226894636056965,0.71521887200803,0.613217150600897,0.676788218803037,0.108440098699237,0.819682390724821,0.180604536640207,0.0902468073090169,0.460809181895863,0.297500586329722,0.27306571474362,0.426465627970703,0.232450349154338,0.508192412436602,0.13991617613384,0.30017484499469,0.56280465412371,0.178925363736936,0.428884257442987,0.573670198165731,0.564794482106681,0.52348073815041,0.230692196910456,0.172197923460156,0.343614191201202,0.158787939746257,0.20284024097099,0.450942547251307,0.244625997540821,0.162869805601676,0.553545854082157,0.384947407251417,0.573670198165731,0.143105501042273,0.253217024806263,0.358228222223337,0.270702906233776,0.161610987839165,0.323190175034201,0.327791300379296,0.280227140867693,0.20017136050222,0.349039082919718,0.414361520784897,0.338687210993317,0.517121945374448,0.231228404338015,0.167049620457294,0.328859458034642,0.316577977940574,0.318399921933419,0.140057292593601,0.418803028231214,0.401461839927636,0.176252162176196,0.31852793268371,0.235501757234467,0.290154725926781,0.283286981328531,0.302925279373207,0.249116786562923,0.307859807050272,0.270111112309755
"01100",0.238274448682554,0.740692295994688,0.357427434874682,0.423138926752537,0.530976667466781,0.812691965787227,0.73342318600237,0.366485335160798,0.391491166534974,0.812691965787227,0.812691965787227,0.312973430789582,0,0.773464377610862,0.638048049637613,0.658942270760006,0.784708513263038,0.443471112286403,0.658405425159699,0.403916531732581,0.689218236341129,0.474460720896508,0.472376514770657,0.25741818707279,0.641695927065676,0.419436844073391,0.812691965787227,0.770052907659319,0.812691965787227,0.472797684315929,0.787469119527638,0.48621145495309,0.458994317924755,0.77594455486013,0.534376240405485,0.490218038997538,0.69527239954514,0.362257336916541,0.72282109127041,0.265081232510339,0.565398434644932,0.687109277731051,0.41762849805447,0.646319012329422,0.974891653083358,1,1,0.488042743650745,0.355254047231818,0.576654792230021,0.288192906813775,0.465909710943235,0.694359622153417,0.508640315557211,0.304891461541411,1,1,0.694359622153417,0.377120410366807,0.503756664754021,0.602060090708883,0.52520896173053,0.355766884219343,0.570381753919239,0.581628549283625,0.52874634772335,0.448109313599941,0.586709440518622,0.648710422706959,0.581968261989446,0.711730409662926,0.441586962363609,0.399092881355628,0.574106669078793,0.565966812399777,0.573016173211444,0.354180736774201,0.643268123813653,0.634322037753547,0.412674101910433,0.566624970601212,0.475661785985349,0.536056427386749,0.531167532483403,0.551770354639791,0.498481427925977,0.552717792127395,0.51948692177592
"hsa-miR-106b-5p",0,0.486692785725176,0.236356553938943,0.104966536959577,0.262218531096189,0.677716373368687,0.529155478075439,0.225454533486459,0.20030521138684,1,0.786119814399603,0.172684314244073,0,0.565271617235615,0.460067255871192,0.498933867961653,0.565271617235615,0.140974175060932,0.436523051825007,0.240405952131668,0.467833687064959,0.167351125686509,0.201185894379793,0,0.436744171731466,0.0268330138670658,0.810438600081402,0.691666572529985,0.764664230146335,0.115189240443035,0.562132533085694,0.178428722775072,0.0916367615692602,0.481696139436562,0.279507899105136,0.286087024886203,0.432402008152109,0.222812841570879,0.45950828503037,0.147878169674053,0.311319437250839,0.584865757935633,0.174090072970739,0.40751564727345,0.608111692603066,0.599986965395755,0.518123074401835,0.228267552579467,0.177342063172631,0.336324891362567,0.16470574993525,0.202645927568051,0.443447444333336,0.24454483498687,0.168340190282858,0.577420488682191,0.352940417582193,0.599986965395755,0.151826029580507,0.256041235892215,0.353938057493606,0.275866546042575,0.167618325907712,0.32750930596665,0.33134930858761,0.283294356695777,0.202645927568051,0.345560908908881,0.408890858313751,0.343036061292445,0.528081059201984,0.231854724636507,0.172411386596492,0.327691309227169,0.319523884040785,0.320086861571689,0.147027120894646,0.421692128144371,0.399319535390431,0.180841170758198,0.320107960151465,0.23813698601557,0.291935977085911,0.285722613038661,0.304158826534801,0.252555975117118,0.309836807284523,0.27411433930067
